t: 0	x_0: 1000	x_1: 0	
t: 2.479999999999991	x_0: 88.97078988944418	x_1: -3118.1739371142903	
t: 2.489999999999991	x_0: 57.745454831255444	x_1: -3125.36516929427	
t: 2.4999999999999907	x_0: 26.463507865445425	x_1: -3129.492794934779	
t: 2.5099999999999905	x_0: -4.84438720275643	x_1: -3130.5527672360745	
t: 2.5199999999999902	x_0: -36.147541125387825	x_1: -3128.5440464342587	
t: 2.52999999999999	x_0: -67.41526929457898	x_1: -3123.468600821218	
t: 2.53999999999999	x_0: -98.61692182083681	x_1: -3115.331404815947	
t: 2.5499999999999896	x_0: -129.72191357730406	x_1: -3104.140434089145	
t: 2.5599999999999894	x_0: -160.69975418054264	x_1: -3089.9066577458657	
t: 2.569999999999989	x_0: -191.52007787845284	x_1: -3072.644027573877	
t: 2.579999999999989	x_0: -222.15267331603116	x_1: -3052.3694643682775	
t: 2.5899999999999888	x_0: -252.56751314978908	x_1: -3029.102841345766	
t: 2.5999999999999885	x_0: -282.73478348180333	x_1: -3002.8669646648273	
t: 2.6099999999999883	x_0: -312.62491308454554	x_1: -2973.6875510709247	
t: 2.619999999999988	x_0: -342.20860238784337	x_1: -2941.5932026886144	
t: 2.629999999999988	x_0: -371.4568521995595	x_1: -2906.6153789852883	
t: 2.6399999999999877	x_0: -400.3409921318346	x_1: -2868.7883659340287	
t: 2.6499999999999875	x_0: -428.83270870503026	x_1: -2828.149242405801	
t: 2.6599999999999873	x_0: -456.9040731018228	x_1: -2784.7378438239293	
t: 2.669999999999987	x_0: -484.5275685442422	x_1: -2738.596723116477	
t: 2.679999999999987	x_0: -511.67611726682026	x_1: -2689.771109004814	
t: 2.6899999999999866	x_0: -538.3231070594077	x_1: -2638.3088616692535	
t: 2.6999999999999864	x_0: -564.4424173536411	x_1: -2584.2604258352135	
t: 2.709999999999986	x_0: -590.0084448274899	x_1: -2527.6787813258975	
t: 2.719999999999986	x_0: -614.9961285027834	x_1: -2468.619391129954	
t: 2.7299999999999858	x_0: -639.3809743111166	x_1: -2407.1401470350274	
t: 2.7399999999999856	x_0: -663.1390791040544	x_1: -2343.301312880491	
t: 2.7499999999999853	x_0: -686.2471540840984	x_1: -2277.165465484982	
t: 2.759999999999985	x_0: -708.682547633447	x_1: -2208.7974333066527	
t: 2.769999999999985	x_0: -730.4232675181731	x_1: -2138.2642328962547	
t: 2.7799999999999847	x_0: -751.4480024460518	x_1: -2065.6350032053547	
t: 2.7899999999999845	x_0: -771.7361429569067	x_1: -1990.980937814071	
t: 2.7999999999999843	x_0: -791.2678016249986	x_1: -1914.3752151447652	
